Long name,Figure name,Quantity (Mt/yr),Local production share of available quantity (%),Carbon mass share,propylene - ecoinvent-3.11-cutoff,ethylene - ecoinvent-3.11-cutoff,methanol - ecoinvent-3.11-cutoff,"xylene, mixed - ecoinvent-3.11-cutoff",o-xylene - ecoinvent-3.11-cutoff,p-xylene - ecoinvent-3.11-cutoff,"toluene, liquid - ecoinvent-3.11-cutoff",benzene - ecoinvent-3.11-cutoff,"Unit GHG footprint without end-of-life (IPCC 2021 GWP100, kg CO2e/kg) - ecoinvent-3.11-cutoff","Unit GHG footprint of local production share (IPCC 2021 GWP100, kg CO2e/kg) - ecoinvent-3.11-cutoff",propylene - ecoinvent-3.12-cutoff,ethylene - ecoinvent-3.12-cutoff,methanol - ecoinvent-3.12-cutoff,"xylene, mixed - ecoinvent-3.12-cutoff",o-xylene - ecoinvent-3.12-cutoff,p-xylene - ecoinvent-3.12-cutoff,"toluene, liquid - ecoinvent-3.12-cutoff",benzene - ecoinvent-3.12-cutoff,"Unit GHG footprint without end-of-life (IPCC 2021 GWP100, kg CO2e/kg) - ecoinvent-3.12-cutoff","Unit GHG footprint of local production share (IPCC 2021 GWP100, kg CO2e/kg) - ecoinvent-3.12-cutoff",Unit impact of end-of-life (kg CO2/kg) - ecoinvent-3.11-cutoff,Unit impact of end-of-life (kg CO2/kg) - ecoinvent-3.12-cutoff,"Unit GHG footprint with end-of-life (IPCC 2021 GWP100, kg CO2e/kg) - ecoinvent-3.11-cutoff","Total GHG footprint without end-of-life (IPCC 2021 GWP100, kg CO2e/kg) - ecoinvent-3.11-cutoff","Total GHG footprint with end-of-life (IPCC 2021 GWP100, kg CO2e/kg) - ecoinvent-3.11-cutoff","Unit GHG footprint with end-of-life (IPCC 2021 GWP100, kg CO2e/kg) - ecoinvent-3.12-cutoff","Total GHG footprint without end-of-life (IPCC 2021 GWP100, kg CO2e/kg) - ecoinvent-3.12-cutoff","Total GHG footprint with end-of-life (IPCC 2021 GWP100, kg CO2e/kg) - ecoinvent-3.12-cutoff","Unit GHG footprint of BTX (IPCC 2021 GWP100, kg CO2e/kg) - ecoinvent-3.11-cutoff","Unit GHG footprint of BTX (IPCC 2021 GWP100, kg CO2e/kg) - ecoinvent-3.12-cutoff"
Cumene,Cumene,0.778495527,0.93458212,0.899400948,0.6704358100725063,0.0,0.0056968128416821,0.0,0.0,0.0,0.0,1.3125434928424282,2.3120532378796192,2.138970283954067,0.6961559893489705,0.0,0.014758325816243,0.0,0.0,0.0,0.0,1.339129553812295,2.373499806389364,2.1949361958265854,0.8313251995200106,0.831275415984351,3.1433784373996296,1.7999231038751506,2.447106053183861,3.2047752223737147,1.847758982609486,2.4949031756583673,1.3125434928424282,1.339129553812295
Acrylonitrile,Acrylonitrile,0.705069102,0.850980419,0.679099133,2.025610689810081,0.0,0.3398158855555941,0.0,0.0,0.0,0.0,0.0,4.253078333665255,3.61928638242228,2.3811099896521606,0.0,0.7273549032402339,0.0,0.0,0.0,0.0,0.0,4.560201982906637,3.880642594138521,0.6276980511200121,0.6276604617045467,4.880776384785267,2.9987141214530175,3.441284622683354,5.187862444611184,3.215257517026602,3.657801515121532,0.0,0.0
Cyclohexane,Cyclohexane,0.683315016,0.351228927,0.856297529,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.104273445064761,3.346810954946915,1.1754968205778504,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.020426921183112,3.2313182200490407,1.1349324312233746,0.7914842826521205,0.7914368849718476,4.138295237599035,2.2869261812285266,2.827759276492708,4.022755105020888,2.2080082612339016,2.7488089689514297,2.104273445064761,2.020426921183112
Adipic acid; its salts and esters,Adipic acid,0.667655569,0.855143012,0.493129875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4184179167328674,9.370551373579202,8.013161525703255,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.361899876262209,9.267494796069144,7.925033413604893,0.45580482501743247,0.4557775293504982,9.826356198596635,6.256300809170754,6.560621438970713,9.723272325419643,6.187494511274084,6.491796916970005,1.4184179167328674,1.361899876262209
Propan-1-ol (propyl alcohol) and propan-2-ol (isopropyl alcohol),Isopropanol,0.667347651,0.809173448,0.599550749,1.4236029187682464,0.0,0.0739666859649793,0.0,0.0,0.0,0.0,0.0,2.36097997664926,1.803442562343444,1.5337033955320207,0.0,0.1420422154110225,0.0,0.0,0.0,0.0,0.0,2.46268119121458,1.846284590151012,0.554170692329309,0.5541375060666538,2.915150668978569,1.5755944414749186,1.9454189512539268,3.016818697281234,1.6434645081189319,2.0132668711235118,0.0,0.0
Ethylbenzene,Ethylbenzene,0.64249726,0.933856123,0.905124341,0.0,0.4740723472411504,0.0,0.0,0.0,0.0,0.0,1.5328938716295522,2.6707240109587675,2.4956500228657124,0.0,0.4839127030145402,0.0,0.0,0.0,0.0,0.0,1.5703090267072028,2.3873646716043595,2.2307271297497486,0.8366153883265011,0.8365652879902641,3.507339399285269,1.715932859257218,2.253455953930831,3.2239299595946234,1.5338752601266006,2.071366165471456,1.5328938716295522,1.5703090267072028
Esters of acrylic acid,Esters of acrylic acid,0.604861873,0.661308007,0.655985457,1.5141786364768763,0.0,0.084834186786094,0.0,0.0,0.0,0.0,0.0,5.047447528572425,3.258252315906878,1.6122144512275498,0.0,0.3163323619329692,0.0,0.0,0.0,0.0,0.0,4.705981085954575,2.958358711865372,0.6063338515880132,0.6062975415580276,5.653781380160439,3.0530085660015382,3.4197567951363683,5.312278627512603,2.846468533953059,3.2131948005351427,0.0,0.0
"Ethylene-vinyl acetate copolymers, in primary forms",Ethylene-vinyl acetate,0.593659673,0.842233392,0.631382513,0.0,1.690666449787671,0.1138749484018097,0.0,0.0,0.0,0.0,0.0,2.835619250036055,2.319138752300471,0.0,1.7354208899937484,0.1310591337248194,0.0,0.0,0.0,0.0,0.0,2.897222110061011,2.3809520144326046,0.5835931069011624,0.5835581586904441,3.4192123569372175,1.6833927967289095,2.029848489736908,3.480780268751455,1.7199639304671899,2.066398876131841,0.0,0.0
Butan-1-ol (n-butyl alcohol),n-Butanol,0.507331541,0.788439054,0.648192121,1.266791658703962,0.0,0.137365223157676,0.0,0.0,0.0,0.0,0.0,3.844128516632287,3.0308610511079834,1.3655939761416696,0.0,0.3558622646594303,0.0,0.0,0.0,0.0,0.0,4.007689262346689,3.159818730730582,0.5991303939759955,0.5990945153218292,4.443258910608282,1.9502476441451024,2.254205390180881,4.606783777668518,2.033227169315499,2.337166712978371,0.0,0.0
Hexamethylenediamine and its salts; ethylenediamine and its salts,Hexamethylenediamine,0.443739559,0.90142966,0.620189329,0.4381389622386978,0.0,0.0106527491441762,0.0,0.0,0.0,0.0,0.0,5.571048078687225,4.993056449261193,0.1347293331924853,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.564966539907278,4.040003769452793,0.5732471361272198,0.5732128074803079,6.144295214814445,2.4720944176044664,2.726466848987572,5.138179347387586,2.0256562392682116,2.2800134376726753,0.0,0.0
