freq,reporter,product,product label,PRODQNT value,PRODQNT year,PRODQNT unit,EXPQNT value,EXPQNT year,EXPQNT unit,IMPQNT value,IMPQNT year,IMPQNT unit
A,EU27_2020,20143280,Lauric acid and others; salts and esters,340000000,2019,KG,186500168,2019,KG,176024738,2019,KG
A,EU27_2020,20143310,Acrylic acid and its salts and other monocarboxylic acid,423283936,2019,KG,53713988,2019,KG,80673367,2019,KG
A,EU27_2020,20143320,Esters of acrylic acid,588789183,2019,KG,188954201,2019,KG,189665077,2019,KG
A,EU27_2020,20143330,Methacrylic acid and its salts,50000000,2019,KG,7227203,2019,KG,26974150,2019,KG
A,EU27_2020,20143340,Esters of methacrylic acid,201480335,2019,KG,64551168,2019,KG,251439108,2019,KG
A,EU27_2020,20143350,"Oleic, linoleic or linolenic acids; their salts and esters",38060206,2019,KG,11195657,2019,KG,8278783,2019,KG
A,EU27_2020,20143363,Benzoic acid; its salts and esters,159495729,2019,KG,94439919,2019,KG,27637651,2019,KG
A,EU27_2020,20143365,Benzoyl peroxide and benzoyl chloride,44433213,2019,KG,21547696,2019,KG,5185031,2019,KG
A,EU27_2020,20143367,Phenylacetic acid; its salts and esters,452889,2019,KG,63489,2019,KG,258239,2019,KG
A,EU27_2020,20143370,"Aromatic monocarboxylic acids, (anhydrides), halides, peroxides, peroxyacids, derivatives excluding benzoic acid, phenylacetic acids their salts/esters, benzoyl peroxide, benzoyl chloride",200000000,2019,KG,2637164,2019,KG,16307198,2019,KG
A,EU27_2020,20143381,"Oxalic, azelaic, malonic, other, cyclanic, cylenic or cycloterpenic polycarboxylic acids, salts (excluding butanedioic acid having a bio-based carbon content of 100 % by mass)",197690655,2019,KG,22275611,2019,KG,88601174,2019,KG
A,EU27_2020,20143382,"Ethane-1,2-dicarboxylic acid or butanedioic acid (succinic acid) having a bio-based carbon content of 100 % by mass",80000,2019,KG,2336209,2019,KG,327084,2019,KG
