freq,product,product label,PRODQNT - EU27_2020 - 2019 - amount,PRODQNT - EU27_2020 - 2019 - unit,EXPQNT - EU27_2020 - 2019 - amount,EXPQNT - EU27_2020 - 2019 - unit,IMPQNT - EU27_2020 - 2019 - amount,IMPQNT - EU27_2020 - 2019 - unit,PRODQNT - EU27_2020 - 2022 - amount,PRODQNT - EU27_2020 - 2022 - unit,EXPQNT - EU27_2020 - 2022 - amount,EXPQNT - EU27_2020 - 2022 - unit,IMPQNT - EU27_2020 - 2022 - amount,IMPQNT - EU27_2020 - 2022 - unit,PRODQNT - FR - 2019 - amount,PRODQNT - FR - 2019 - unit,EXPQNT - FR - 2019 - amount,EXPQNT - FR - 2019 - unit,IMPQNT - FR - 2019 - amount,IMPQNT - FR - 2019 - unit,PRODQNT - FR - 2022 - amount,PRODQNT - FR - 2022 - unit,EXPQNT - FR - 2022 - amount,EXPQNT - FR - 2022 - unit,IMPQNT - FR - 2022 - amount,IMPQNT - FR - 2022 - unit
A,20145230,Heterocyclic compounds with nitrogen only hetero-atom(s); containing an unfused imidazole ring (excluding hydantoin and its derivatives),7120679,KG,5235829,KG,6084648,KG,7067958,KG,4382643,KG,6041783,KG,463805,KG,641100,KG,1971900,KG,671888,KG,423801,KG,70813457,KG
A,20145260,Melamine,272775970,KG,86134424,KG,105887021,KG,150000000,KG,15976832,KG,184676650,KG,:,KG,0,KG,10421900,KG,:,KG,52986,KG,12442398,KG
A,20145280,"Compounds containing in the structure an unfused pyridine ring or a quinoline or isoquinoline ring-system, not further fused; lactames; other heterocyclic compounds with nitrogen hetero-atom(s) only (excluding compounds containing in the structure an unfused pyrazole ring, an unfused imidazole ring, a pyrimidine ring, a piperazine ring or an unfused triazine ring)",774029829,KG,311100198,KG,95727429,KG,464961770,KG,140710019,KG,112199318,KG,26143821,KG,16910700,KG,28207400,KG,23003271,KG,30448935,KG,33174273,KG
A,20145290,"Nucleic acids and other heterocyclic compounds - thiazole, benzothiazole, other cycles",117294353,KG,92353731,KG,49817865,KG,123337906,KG,69724727,KG,56508647,KG,5577944,KG,22247100,KG,18887400,KG,17955670,KG,6071690,KG,16571939,KG
A,20145350,Phosphoric esters; and their salts (including lactophosphates; their halogenated; sulphonated; nitrated or nitrosated derivatives),65516910,KG,21769647,KG,80876024,KG,45000000,KG,15267685,KG,63792952,KG,1763422,KG,1315300,KG,7471300,KG,1117283,KG,978221,KG,6989541,KG
A,20145380,"Esters of other inorganic acids of non-metals (excluding esters of hydrogen halides) and their salts; their halogenated, sulphonated, nitrated or nitrosated derivatives",160711000,KG,78416635,KG,82711717,KG,120000000,KG,86010289,KG,96369439,KG,:,KG,50893000,KG,28157900,KG,:,KG,53845288,KG,27152276,KG
A,20146111,Methanal (formaldehyde),966504769,KG,30057396,KG,44722864,KG,910000000,KG,49663311,KG,21200527,KG,:,KG,0,KG,23160700,KG,:,KG,782741,KG,21502540,KG
A,20146113,Ethanal (acetaldehyde),30000000,KG,4239981,KG,156451,KG,60000000,KG,6621750,KG,151576,KG,0,KG,0,KG,13765300,KG,0,KG,0,KG,15095224,KG
A,20146115,Butanal (butyraldehyde; normal isomer),560332007,KG,:,KG,:,KG,300000000,KG,:,KG,:,KG,13985962,KG,:,KG,:,KG,:,KG,:,KG,:,KG
A,20146119,"Acyclic aldehydes, without other oxygen function (excluding methanal (formaldehyde), ethanal (acetaldehyde), butanal (butyraldehyde; normal isomer))",210487418,KG,:,KG,:,KG,360000000,KG,:,KG,:,KG,11111436,KG,:,KG,:,KG,:,KG,:,KG,:,KG
A,20146120,Cyclic aldehydes; without other oxygen function,28489760,KG,18012635,KG,8100808,KG,19430176,KG,14684763,KG,8017653,KG,:,KG,1047300,KG,1626200,KG,3699,KG,892097,KG,1647298,KG
A,20146130,Aldehyde-alcohols,:,: ,:,: ,:,: ,:,: ,:,: ,:,: ,N/A,N/A,:,: ,:,: ,N/A,N/A,:,: ,:,: 
A,20146135,"Aldehyde-alcohols, Aldehyde-ethers, aldehyde-phenols and aldehydes with other oxygen function",4000000,KG,5661621,KG,6393404,KG,7275101,KG,6856625,KG,7840001,KG,:,KG,505500,KG,1878700,KG,:,KG,4767337,KG,2541394,KG
A,20146140,"Aldehyde-ethers, aldehyde-phenols and aldehydes with other oxygen function",:,: ,:,: ,:,: ,:,: ,:,: ,:,: ,:,: ,:,: ,:,: ,:,: ,:,: ,:,: 
A,20146150,Cyclic polymers of aldehydes,200,KG,146589,KG,922778,KG,3388000,KG,1437256,KG,1447634,KG,:,KG,3000,KG,428100,KG,0,KG,51817,KG,953383,KG
A,20146160,Paraformaldehyde,123019675,KG,20287132,KG,574488,KG,80000000,KG,18117156,KG,774272,KG,0,KG,54900,KG,3858700,KG,:,KG,72703,KG,1967814,KG
A,20146170,"Halogenated, sulphonated, nitrated or nitrosated derivatives of cyclic polymers of aldehydes or paraformaldehyde",3000000,KG,2823657,KG,2490297,KG,3000000,KG,2669927,KG,2499855,KG,0,KG,0,KG,162900,KG,0,KG,6015,KG,214436,KG
A,201461Z0,"Acyclic aldehydes without other oxygen function (excluding methanal, ethanal)",770859425,KG,67916632,KG,37351993,KG,610716012,KG,55024401,KG,41838420,KG,:,KG,20814300,KG,8780800,KG,:,KG,25692724,KG,6375430,KG
A,20146211,Acetone,1274691518,KG,263028233,KG,117031494,KG,1012823189,KG,161027056,KG,78029618,KG,:,KG,28677000,KG,47318200,KG,:,KG,32016599,KG,33809299,KG
A,20146213,Butanone (methyl ethyl ketone),108808558,KG,53067474,KG,63916138,KG,94454215,KG,43125935,KG,63167367,KG,995817,KG,0,KG,15011600,KG,:,KG,1140670,KG,15431757,KG
A,20146215,4-Methylpentan-2-one (methyl isobutyl ketone),24000000,KG,3847546,KG,27075759,KG,12000000,KG,3143310,KG,32093954,KG,13628000,KG,4925200,KG,2536300,KG,6519000,KG,3763525,KG,2013605,KG
