,Priority code,PRODCOM code,Long name,Figure name,Quantity (Mt),Ecoinvent 3.11 activity name proxy,Molecular formula (MF),Molecular weight (MW),Carbon atoms,ecoinvent activity region,"GHG unit impact (IPCC 2021 GWP100, kg CO2e/kg)",propylene,ethylene,methanol,"xylene, mixed",o-xylene,p-xylene,"toluene, liquid",benzene,conseq_RER_GLO_RoW,"GHG unit impact of end-of-life (IPCC 2021 GWP100, kg CO2e/kg)","GHG total unit impact with end-of-life (IPCC 2021 GWP100, kg CO2e/kg)","Total GHG footprint without end-of-life (IPCC 2021 GWP100, kg CO2e/kg)","Total GHG footprint with end-of-life (IPCC 2021 GWP100, kg CO2e/kg)",x_axis,"BTX fraction GHG footprint (IPCC 2021 GWP100, kg CO2e/kg)"
42,43,20165350,"Polymethyl methacrylate, in primary forms",Polymethyl methacrylate,0.210079972,market for polymethyl methacrylate,(C5H8O2)x,100.117,5,RER,6.688424161803114,0.4690937076811839,0.0,0.297371943547067,0.0,0.0,0.0,0.0,0.448070290656882,6.688424161803114,0.5998481776321702,7.288272339435284,1.4051039606357218,1.531120048996939,102.28963514499999,0.448070290656882
43,44,20144450_1,Toluene diisocyanate (TDI),Toluene diisocyanate,0.237128752,market for toluene diisocyanate,C9H6N2O2,174.16,9,RER,5.619546400911559,0.0,0.0,0.0,0.0,0.0,0.0,0.9182477427093808,0.0,5.619546400911559,0.6206878732200275,6.240234274131586,1.3325560248542496,1.4797389656124489,102.499715117,0.9182477427093808
44,45,20164013,"Polyacetals, in primary forms",Polyoxymethylene,0.356093749,manual:3.64,(CH2O)n ,30.026,1,,3.64,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.64,0.4000199826816759,4.040019982681676,1.2961812463600002,1.438625861668033,102.736843869,0.0
45,46,20146111,Methanal (formaldehyde),Formaldehyde,0.898541723,market for formaldehyde,CH2O,30.026,1,RER,1.1601848444152618,0.0,0.0,0.9355617545881204,0.0,0.0,0.0,0.0,0.0,1.1601848444152618,0.4000199826816759,1.5602048270969378,1.0424744890993762,1.4019091335725995,103.092937618,0.0
46,47,20143277,Acetic anhydride,Acetic anhydride,0.212247473,market for acetic anhydride,C4H6O3,102.09,4,GLO,5.174229860614863,0.0,0.1772031984608849,0.451584097701321,0.0,0.0,0.0,0.0,0.0,5.174229860614863,0.4706043686942893,5.6448342293091525,1.098217212636647,1.1981018006747701,103.99147934099999,0.0
47,48,20143250,"Formic acid, its salts and esters",Formic acid,0.442926298,market for formic acid,CH2O2,46.025,1,RER,2.321899093100488,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.321899093100488,0.260966865833786,2.5828659589342737,1.0284301696365565,1.144019257420978,104.20372681399999,0.0
48,49,20142433,"4,4-Isopropylidenediphenol (bisphenol A; diphenylolpropane) and its salts",Bisphenol A,0.213130407,"market for bisphenol A, powder",C15H16O2,228.29,15,RER,3.796064437970284,0.500467782633261,0.0,0.0,0.0,0.0,0.0,0.0,1.1711590128277547,3.796064437970284,0.7891935695825485,4.585258007552833,0.8090567586628329,0.9772579053497442,104.646653112,1.1711590128277547
49,50,20141247,m-Xylene and mixed xylene isomers,m-Xylene,0.403599974,"market for xylene, mixed",C8H10,106.16,8,RER,1.5157137686267124,0.0,0.0,0.0,1.4868292561995198,0.0,0.0,0.0,0.0,1.5157137686267124,0.9051243406179351,2.4208381092446474,0.6117420376091831,0.9770501979493488,104.85978351899999,1.4868292561995198
50,51,20146333,"2,2-Oxydiethanol (diethylene glycol; digol)",Diethylene glycol,0.328424854,market for diethylene glycol,C4H10O3,106.12,4,RER,2.300668716333809,0.0,1.207850015554246,0.0,0.0,0.0,0.0,0.0,0.0,2.300668716333809,0.4527327553712778,2.7534014717050868,0.7555967872642987,0.9042854763481282,105.26338349299999,0.0
51,52,20141243,o-Xylene,o-Xylene,0.260760131,market for o-xylene,C8H10,106.16,8,RER,2.2791966537603043,0.0,0.0,0.0,0.0,2.2503777410814525,0.0,0.0,0.0,2.2791966537603043,0.9051243406179351,3.1843209943782393,0.5943236180092986,0.83034395964012,105.591808347,2.2503777410814525
52,53,20143363,Benzoic acid; its salts and esters,Benzoic acid,0.232327254,market for benzoic acid,C7H6O2,122.12,7,RER,1.7857288579521982,0.0,0.0,0.0,0.0,0.0,0.0,1.3794419435885354,0.0,1.7857288579521982,0.6884785456927611,2.474207403644959,0.4148734819565903,0.5748258119153029,105.852568478,1.3794419435885354
