freq,reporter,product,product label,PRODQNT value,PRODQNT year,PRODQNT unit,EXPQNT value,EXPQNT year,EXPQNT unit,IMPQNT value,IMPQNT year,IMPQNT unit
A,EU27_2020,20165490,"Polyamides, in primary forms (excluding polyamide -6, -11, -12, -6,6, -6,9, -6,10 or -6,12)",262291878,2024,KG,132850660,2024,KG,79823094,2024,KG
A,EU27_2020,20165550,"Urea resins and thiourea resins, in primary forms",2400000000,2024,KG,185386522,2024,KG,119966200,2024,KG
A,EU27_2020,20165570,"Melamine resins, in primary forms",760000000,2024,KG,54207901,2024,KG,114741688,2024,KG
A,EU27_2020,20165630,"Amino resins, in primary forms (excluding urea and thiourea resins, melamine resins)",1521228629,2024,KG,720236690,2024,KG,214039250,2024,KG
A,EU27_2020,20165650,"Phenolic resins, in primary forms",802145211,2024,KG,86272343,2024,KG,67345903,2024,KG
A,EU27_2020,20165670,"Polyurethanes, in primary forms",2000000000,2024,KG,399773869,2024,KG,86849920,2024,KG
A,EU27_2020,20165700,"Silicones, in primary forms",700000000,2024,KG,80064811,2024,KG,182958306,2024,KG
A,EU27_2020,20165920,"Petroleum resins, coumarone-indene resins, polyterpenes, polysulphides, polysulphones, etc., n.e.c., in primary forms",400000000,2024,KG,184133999,2024,KG,320187033,2024,KG
A,EU27_2020,20165940,"Cellulose and its chemical derivatives, n.e.c., in primary forms",418243981,2018,KG,294421605,2018,KG,120427027,2018,KG
A,EU27_2020,20165945,Sodium carboxymethyl cellulose,22000000,2024,KG,62415618,2024,KG,18619435,2024,KG
A,EU27_2020,20165950,"Cellulose and its chemical derivatives, in primary forms, excluding sodium carboxymethyl cellulose and n.e.c.",285515204,2024,KG,181410634,2024,KG,124487250,2024,KG
A,EU27_2020,20165955,"Natural polymers and modified natural polymers, not elsewhere specified or included, in primary forms . Alginic acid, its salts and esters",140000000,2024,KG,5738615,2024,KG,6538914,2024,KG
A,EU27_2020,20165960,"Natural and modified natural polymers, in primary forms (including alginic acid, hardened proteins, chemical derivatives of natural rubber)",293172101,2018,KG,23600475,2018,KG,25424100,2018,KG
A,EU27_2020,20165965,"Natural polymers and modified natural polymers, e.g. hardened proteins, chemical derivatives of natural rubber, n.e.s., in primary forms (excl. alginic acid and its salts and esters)",120000000,2024,KG,21611546,2024,KG,23332447,2024,KG
A,EU27_2020,20165970,"Ion-exchangers based on synthetic or natural polymers, in primary forms",40000000,2024,KG,25391110,2024,KG,42097993,2024,KG
