,PRODCOM code,Long name,Figure name,Quantity (Mt),Ecoinvent 3.11 activity name proxy,Molecular formula (MF),Molecular weight (MW),Carbon atoms,ecoinvent activity region,"GHG unit impact (IPCC 2021 GWP100, kg CO2e/kg)",propylene,ethylene,methanol,"xylene, mixed",o-xylene,p-xylene,"toluene, liquid",benzene,conseq_RER_GLO_RoW
46,20164013,"Polyacetals, in primary forms",Polyoxymethylene,0.356093749,manual:3.64,(CH2O)n ,30.026,1,,3.64,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.64
47,20143215,Ethyl acetate,Ethyl acetate,0.341312049,market for ethyl acetate,C4H8O2,88.11,4,GLO,3.986381388426604,0.0,0.436658259413571,0.21436578944914816,0.0,0.0,0.0,0.0,0.0,3.986381388426604
48,20146333,"2,2-Oxydiethanol (diethylene glycol; digol)",Diethylene glycol,0.328424854,market for diethylene glycol,C4H10O3,106.12,4,RER,2.3006687163338095,0.0,1.207850015554246,0.0,0.0,0.0,0.0,0.0,0.0,2.3006687163338095
49,20165250,"Polymers of vinyl acetate, in primary forms (excluding in aqueous dispersion)",Polyvinyl acetate,0.320172965,market for vinyl acetate,(C4H6O2)x,86.08905,4,RER,3.7424134561299054,0.0,0.6054816411459772,0.42100187141193496,0.0,0.0,0.0,0.0,0.0,3.7424134561299054
50,20141243,o-Xylene,o-Xylene,0.260760131,market for o-xylene,C8H10,106.16,8,RER,2.2791966537603043,0.0,0.0,0.0,0.0,2.2503777410814525,0.0,0.0,0.0,2.2791966537603043
51,20143363,Benzoic acid; its salts and esters,Benzoic acid,0.232327254,market for benzoic acid,C7H6O2,122.12,7,RER,1.7857288579521982,0.0,0.0,0.0,0.0,0.0,0.0,1.3794419435885354,0.0,1.7857288579521982
52,20142433,"4,4-Isopropylidenediphenol (bisphenol A; diphenylolpropane) and its salts",Bisphenol A,0.213130407,"market for bisphenol A, powder",C15H16O2,228.29,15,RER,3.7960644379702835,0.500467782633261,0.0,0.0,0.0,0.0,0.0,0.0,1.1711590128277547,3.7960644379702835
53,20143277,Acetic anhydride,Acetic anhydride,0.212247473,market for acetic anhydride,C4H6O3,102.09,4,GLO,5.174229860614863,0.0,0.17720319846088498,0.451584097701321,0.0,0.0,0.0,0.0,0.0,5.174229860614863
54,20165350,"Polymethyl methacrylate, in primary forms",Polymethyl methacrylate,0.210079972,market for polymethyl methacrylate,(C5H8O2)x,100.117,5,RER,6.688424161803114,0.4690937076811839,0.0,0.29737194354706703,0.0,0.0,0.0,0.0,0.448070290656882,6.688424161803114
55,20144450_1,Toluene diisocyanate (TDI),Toluene diisocyanate,0.237128752,market for toluene diisocyanate,C9H6N2O2,174.16,9,RER,5.619546400911559,0.0,0.0,0.0,0.0,0.0,0.0,0.9182477427093809,0.0,5.619546400911559
56,20144450_2,Methylene diphenyl diisocyanate (MDI),Methylene diphenyl diisocyanate,0.790429172,market for methylene diphenyl diisocyanate,C15H10N2O2,250.25,15,RER,4.161533845639976,0.0,0.0,0.12914344569662223,0.0,0.0,0.0,0.0,1.2769708576576493,4.161533845639976
57,20165450_1,"Polyamide -6,6 (PA 66)","Polyamide -6,6",1.068178825,market for nylon 6-6,C12H20N2O2,224.3,12,RER,8.252259825220545,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.252259825220545
58,20165450_2,Polyamide -6 (PA 6),Polyamide -6,1.25668097,market for nylon 6,C30H56N5O6-,582.8,30,RER,9.306554910055352,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.306554910055352
