Long name,Figure name,Quantity (Mt/yr),Local production share of available quantity (%),Carbon mass share,propylene - ecoinvent-3.11-cutoff,ethylene - ecoinvent-3.11-cutoff,methanol - ecoinvent-3.11-cutoff,"xylene, mixed - ecoinvent-3.11-cutoff",o-xylene - ecoinvent-3.11-cutoff,p-xylene - ecoinvent-3.11-cutoff,"toluene, liquid - ecoinvent-3.11-cutoff",benzene - ecoinvent-3.11-cutoff,"Unit GHG footprint without end-of-life (IPCC 2021 GWP100, kg CO2e/kg) - ecoinvent-3.11-cutoff","Unit GHG footprint of local production share (IPCC 2021 GWP100, kg CO2e/kg) - ecoinvent-3.11-cutoff",propylene - ecoinvent-3.12-cutoff,ethylene - ecoinvent-3.12-cutoff,methanol - ecoinvent-3.12-cutoff,"xylene, mixed - ecoinvent-3.12-cutoff",o-xylene - ecoinvent-3.12-cutoff,p-xylene - ecoinvent-3.12-cutoff,"toluene, liquid - ecoinvent-3.12-cutoff",benzene - ecoinvent-3.12-cutoff,"Unit GHG footprint without end-of-life (IPCC 2021 GWP100, kg CO2e/kg) - ecoinvent-3.12-cutoff","Unit GHG footprint of local production share (IPCC 2021 GWP100, kg CO2e/kg) - ecoinvent-3.12-cutoff",Unit impact of end-of-life (kg CO2/kg),"Unit GHG footprint with end-of-life (IPCC 2021 GWP100, kg CO2e/kg) - ecoinvent-3.11-cutoff","Total GHG footprint without end-of-life (IPCC 2021 GWP100, kg CO2e/kg) - ecoinvent-3.11-cutoff","Total GHG footprint with end-of-life (IPCC 2021 GWP100, kg CO2e/kg) - ecoinvent-3.11-cutoff","Unit GHG footprint with end-of-life (IPCC 2021 GWP100, kg CO2e/kg) - ecoinvent-3.12-cutoff","Total GHG footprint without end-of-life (IPCC 2021 GWP100, kg CO2e/kg) - ecoinvent-3.12-cutoff","Total GHG footprint with end-of-life (IPCC 2021 GWP100, kg CO2e/kg) - ecoinvent-3.12-cutoff","Unit GHG footprint of BTX (IPCC 2021 GWP100, kg CO2e/kg) - ecoinvent-3.11-cutoff","Unit GHG footprint of BTX (IPCC 2021 GWP100, kg CO2e/kg) - ecoinvent-3.12-cutoff"
"Propylene glycol (propane-1,2-diol)",Propylene glycol,0.848026699,0.943366525,0.473557629,1.134531881564736,0.0,0.0153244479460153,0.0,0.0,0.0,0.0,0.0,3.680773134173952,3.3946330181231947,0.8597284334007407,0.0433255952904203,0.0153548972839565,0.0,0.0,0.0,0.0,0.3388878718037433,3.626399556729945,3.361533232449631,1.7351425938440597,5.415915728018011,3.1213938907414205,4.592841136893296,5.361542150574005,3.0752836453487586,4.546730891500634,0.0,0.3388878718037433
"Acrylonitrile-butadiene-styrene (ABS) copolymers, in primary forms",ABS,0.846217183,0.715351861,0.85265026,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.652506044090016,3.328178856953541,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.656313376600034,3.330902439350028,3.1241599610640245,7.77666600515404,3.9370305585203274,6.580748400013316,7.780473337664058,3.940252388711699,6.583970230204687,0.0,0.0
m-Xylene and mixed xylene isomers,m-Xylene,0.821433537,0.973907156,0.905124341,0.0,0.0,0.0,1.4880413743609309,0.0,0.0,0.0,0.0,1.5177448452169764,1.4761644857132832,0.0,0.0,0.0,1.4998748802747066,0.0,0.0,0.0,0.0,1.5296835500090231,1.489071445816751,3.316428034557406,4.834172879774382,1.2467265164700985,3.970951727102546,4.8461115845664295,1.2565333689746283,3.980758579607077,1.4880413743609309,1.4998748802747066
Cumene,Cumene,0.778495527,0.93458212,0.899400948,0.6704358100725063,0.0,0.0056968128416821,0.0,0.0,0.0,0.0,1.3125434928424282,2.3120532378796192,2.138970283954067,0.6961559893489705,0.0,0.014758325816243,0.0,0.0,0.0,0.0,1.339129553812295,2.373499806389364,2.1949361958265854,3.295457190952627,5.607510428832246,1.7999231038751506,4.365421786451755,5.668956997341991,1.847758982609486,4.413257665186091,1.3125434928424282,1.339129553812295
Acrylonitrile,Acrylonitrile,0.705069102,0.850980419,0.679099133,2.025610689810081,0.0,0.3398158855555941,0.0,0.0,0.0,0.0,0.0,4.253078333665255,3.61928638242228,2.3811099896521606,0.0,0.7273549032402339,0.0,0.0,0.0,0.0,0.0,4.560201982906637,3.880642594138521,2.4882585749893433,6.741336908654598,2.9987141214530175,4.753108360464553,7.0484605578959805,3.215257517026602,4.969651756038138,0.0,0.0
Cyclohexane,Cyclohexane,0.683315016,0.351228927,0.856297529,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.104273445064761,3.346810954946915,1.1754968205778504,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.020426921183112,3.2313182200490407,1.1349324312233746,3.137523766027891,6.484334720974806,2.2869261812285266,4.430843283612255,6.368841986076932,2.2080082612339016,4.351925363617631,2.104273445064761,2.020426921183112
Adipic acid; its salts and esters,Adipic acid,0.667655569,0.855143012,0.493129875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4184179167328674,9.370551373579202,8.013161525703255,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.361899876262209,9.267494796069144,7.925033413604893,1.8068564373386895,11.177407810917892,6.256300809170754,7.46265857194343,11.074351233407834,6.187494511274084,7.393852274046759,1.4184179167328674,1.361899876262209
Propan-1-ol (propyl alcohol) and propan-2-ol (isopropyl alcohol),Isopropanol,0.667347651,0.809173448,0.599550749,1.4236029187682464,0.0,0.0739666859649793,0.0,0.0,0.0,0.0,0.0,2.36097997664926,1.803442562343444,1.5337033955320207,0.0,0.1420422154110225,0.0,0.0,0.0,0.0,0.0,2.46268119121458,1.846284590151012,2.1967886864325203,4.557768663081781,1.5755944414749186,3.0416162111090372,4.6594698776471,1.6434645081189319,3.10948627775305,0.0,0.0
Ethylbenzene,Ethylbenzene,0.64249726,0.933856123,0.905124341,0.0,0.4740723472411504,0.0,0.0,0.0,0.0,0.0,1.5328938716295522,2.6707240109587675,2.4956500228657124,0.0,0.4839127030145402,0.0,0.0,0.0,0.0,0.0,1.5703090267072028,2.3873646716043595,2.2307271297497486,3.316428034557406,5.987152045516174,1.715932859257218,3.846728784447537,5.7037927061617655,1.5338752601266006,3.6646711853169194,1.5328938716295522,1.5703090267072028
Esters of acrylic acid,Esters of acrylic acid,0.604861873,0.661308007,0.655985457,1.5141786364768763,0.0,0.084834186786094,0.0,0.0,0.0,0.0,0.0,5.047447528572425,3.258252315906878,1.6122144512275498,0.0,0.3163323619329692,0.0,0.0,0.0,0.0,0.0,4.705981085954575,2.958358711865372,2.403568726759887,7.451016255332312,3.0530085660015382,4.506835647953749,7.109549812714462,2.846468533953059,4.300295615905269,0.0,0.0
