Member,HS_Code,Label_EN,Explanatory_EN
http://data.europa.eu/xsp/cn2024/030195000080,0301.95,0301 95 00 -- Southern bluefin tuna (Thunnus maccoyii),"Live southern bluefin tunas ""Thunnus maccoyii"""
http://data.europa.eu/xsp/cn2024/030199000080,0301.99,0301 99 -- Other,"Live fish (excl. ornamental fish, trout [Salmo trutta, Oncorhynchus mykiss, Oncorhynchus clarki, Oncorhynchus aguabonita, Oncorhynchus gilae, Oncorhynchus apache and Oncorhynchus chrysogaster], eels [Anguilla spp.], carp [Cyprinus spp., Carassius spp., Ctenopharyngodon idellus, Hypophthalmichthys spp., Cirrhinus spp., Mylopharyngodon piceus, Catla catla, Labeo spp., Osteochilus hasselti, Leptobarbus hoeveni, Megalobrama spp.], Atlantic and Pacific bluefin tuna [Thunnus thynnus, Thunnus orientalis] and southern bluefin tuna [Thunnus maccoyii])"
http://data.europa.eu/xsp/cn2024/030211000080,0302.11,"0302 11 -- Trout (Salmo trutta, Oncorhynchus mykiss, Oncorhynchus clarki, Oncorhynchus aguabonita, Oncorhynchus gilae, Oncorhynchus apache and Oncorhynchus chrysogaster)","Fresh or chilled trout ""Salmo trutta, Oncorhynchus mykiss, Oncorhynchus clarki, Oncorhynchus aguabonita, Oncorhynchus gilae, Oncorhynchus apache and Oncorhynchus chrysogaster"""
http://data.europa.eu/xsp/cn2024/030213000080,0302.13,"0302 13 00 -- Pacific salmon (Oncorhynchus nerka, Oncorhynchus gorbuscha, Oncorhynchus keta, Oncorhynchus tschawytscha, Oncorhynchus kisutch, Oncorhynchus masou and Oncorhynchus rhodurus)","Fresh or chilled Pacific salmon ""Oncorhynchus nerka, Oncorhynchus gorbuscha, Oncorhynchus keta, Oncorhynchus tschawytscha, Oncorhynchus kisutch, Oncorhynchus masou and Oncorhynchus rhodurus"""
http://data.europa.eu/xsp/cn2024/030214000080,0302.14,0302 14 00 -- Atlantic salmon (Salmo salar) and Danube salmon (Hucho hucho),"Fresh or chilled Atlantic salmon ""Salmo salar"" and Danube salmon ""Hucho hucho"""
http://data.europa.eu/xsp/cn2024/030219000080,0302.19,0302 19 00 -- Other,"Fresh or chilled salmonidae (excl. trout ""Salmo trutta, Oncorhynchus mykiss, Oncorhynchus clarki, Oncorhynchus aguabonita, Oncorhynchus gilae, Oncorhynchus apache and Oncorhynchus chrysogaster"", Pacific salmon ""Oncorhynchus nerka, Oncorhynchus gorbuscha, Oncorhynchus keta, Oncorhynchus tschawytscha, Oncorhynchus kisutch, Oncorhynchus masou and Oncorhynchus rhodurus"", Atlantic salmon ""Salmo salar"" and Danube salmon ""Hucho hucho"")"
http://data.europa.eu/xsp/cn2024/030221000080,0302.21,"0302 21 -- Halibut (Reinhardtius hippoglossoides, Hippoglossus hippoglossus, Hippoglossus stenolepis)","Fresh or chilled lesser or Greenland halibut ""Reinhardtius hippoglossoides, Atlantic halibut ""Hippoglossus hippoglossus"" and Pacific halibut ""Hippoglossus stenolepis"""
http://data.europa.eu/xsp/cn2024/030222000080,0302.22,0302 22 00 -- Plaice (Pleuronectes platessa),"Fresh or chilled plaice ""Pleuronectes platessa"""
http://data.europa.eu/xsp/cn2024/030223000080,0302.23,0302 23 00 -- Sole (Solea spp.),"Fresh or chilled sole ""Solea spp."""
http://data.europa.eu/xsp/cn2024/030224000080,0302.24,0302 24 00 -- Turbots (Psetta maxima),"Fresh or chilled turbot ""Psetta maxima"""
